HGNC ID	Approved symbol	RefSeq IDs	NCBI Gene ID	Ensembl gene ID	UniProt ID(supplied by UniProt)
HGNC:5	A1BG	NM_130786	1	ENSG00000121410	P04217
HGNC:37133	A1BG-AS1	NR_015380	503538	ENSG00000268895	
HGNC:24086	A1CF	NM_014576	29974	ENSG00000148584	Q9NQ94
HGNC:6	A1S9T				
HGNC:7	A2M	NM_000014	2	ENSG00000175899	P01023
HGNC:27057	A2M-AS1	NR_026971	144571	ENSG00000245105	
HGNC:23336	A2ML1	NM_144670	144568	ENSG00000166535	A8K2U0
HGNC:41022	A2ML1-AS1			ENSG00000256661	
HGNC:41523	A2ML1-AS2			ENSG00000256904	
HGNC:8	A2MP1	NG_001067	3	ENSG00000256069	
HGNC:9	A2MR				
HGNC:10	A2MRAP				
HGNC:30005	A3GALT2	NM_001080438	127550	ENSG00000184389	U3KPV4
HGNC:18149	A4GALT	NM_017436	53947	ENSG00000128274	Q9NPC4
HGNC:17968	A4GNT	NM_016161	51146	ENSG00000118017	Q9UNA3
HGNC:1	A12M1				
HGNC:2	A12M2				
HGNC:3	A12M3				
HGNC:4	A12M4				
HGNC:11	AA				
HGNC:13666	AAAS		8086	ENSG00000094914	Q9NRG9
HGNC:12	AABT				
HGNC:13	AAC1				
HGNC:14	AAC2				
HGNC:21298	AACS	NM_023928	65985	ENSG00000081760	Q86V21
HGNC:18226	AACSP1	NR_024035	729522	ENSG00000250420	
HGNC:13792	AACT				
HGNC:17	AADAC	NM_001086	13	ENSG00000114771	P22760
HGNC:24427	AADACL2	NM_207365	344752	ENSG00000197953	Q6P093
HGNC:50301	AADACL2-AS1		101928142	ENSG00000242908	
HGNC:32037	AADACL3	NM_001103170	126767	ENSG00000188984	Q5VUY0
HGNC:32038	AADACL4	NM_001013630	343066	ENSG00000204518	Q5VUY2
HGNC:50305	AADACP1		201651	ENSG00000240602	
HGNC:17929	AADAT	NM_016228	51166	ENSG00000109576	Q8N5Z0
HGNC:25662	AAGAB	NM_024666	79719	ENSG00000103591	Q6PD74
HGNC:19679	AAK1	NM_014911	22848	ENSG00000115977	Q2M2I8
HGNC:30205	AAMDC	NM_024684	28971	ENSG00000087884	Q9H7C9
HGNC:18	AAMP	NM_001087	14	ENSG00000127837	Q13685
HGNC:19	AANAT	NM_001088	15	ENSG00000129673	Q16613
HGNC:15886	AAR2	NM_015511	25980	ENSG00000131043	Q9Y312
HGNC:33842	AARD	NM_001025357	441376	ENSG00000205002	Q4LEZ3
HGNC:20	AARS1	NM_001605	16	ENSG00000090861	P49588
HGNC:49894	AARS1P1		106480683	ENSG00000249038	
HGNC:21022	AARS2	NM_020745	57505	ENSG00000124608	Q5JTZ9
HGNC:28417	AARSD1	NM_001261434	80755	ENSG00000266967	Q9BTE6
HGNC:54994	AARSD1P1			ENSG00000234969	
HGNC:23993	AASDH	NM_181806	132949	ENSG00000157426	Q4L235
HGNC:14235	AASDHPPT	NM_015423	60496	ENSG00000149313	Q9NRN7
HGNC:17366	AASS	NM_005763	10157	ENSG00000008311	Q9UDR5
HGNC:51526	AATBC	NR_026961	284837	ENSG00000215458	
HGNC:19235	AATF	NM_012138	26574	ENSG00000275700	Q9NY61
HGNC:21	AATK	NM_004920	9625	ENSG00000181409	Q6ZMQ8
HGNC:22	AAVS1		17		
HGNC:49667	ABALON	NR_131907	103021294	ENSG00000281376	
HGNC:23	ABAT	NM_020686	18	ENSG00000183044	P80404
HGNC:24	ABC1				
HGNC:25	ABC2				
HGNC:26	ABC3				
HGNC:28	ABC7				
HGNC:27	ABC50				
HGNC:29	ABCA1	NM_005502	19	ENSG00000165029	O95477
HGNC:32	ABCA2	NM_001606	20	ENSG00000107331	Q9BZC7
HGNC:33	ABCA3	NM_001089	21	ENSG00000167972	Q99758
HGNC:55707	ABCA3P1	NG_022511	342293	ENSG00000257408	
HGNC:34	ABCA4	NM_000350	24	ENSG00000198691	P78363
HGNC:35	ABCA5	NM_018672	23461	ENSG00000154265	Q8WWZ7
HGNC:36	ABCA6	NM_080284	23460	ENSG00000154262	Q8N139
HGNC:37	ABCA7	NM_019112	10347	ENSG00000064687	Q8IZY2
HGNC:38	ABCA8	NM_007168	10351	ENSG00000141338	O94911
HGNC:39	ABCA9	NM_172386	10350	ENSG00000154258	Q8IUA7
HGNC:39983	ABCA9-AS1			ENSG00000231749	
HGNC:30	ABCA10	NM_080282	10349	ENSG00000154263	Q8WWZ4
HGNC:31	ABCA11P	NR_002451.2	79963	ENSG00000251595	
HGNC:14637	ABCA12	NM_173076	26154	ENSG00000144452	Q86UK0
HGNC:14638	ABCA13	NM_152701	154664	ENSG00000179869	Q86UQ4
HGNC:32972	ABCA17P	NR_003574	650655	ENSG00000238098	
HGNC:40	ABCB1	NM_000927	5243	ENSG00000085563	P08183
HGNC:11563	ABCB2				
HGNC:11564	ABCB3				
HGNC:45	ABCB4	NM_000443	5244	ENSG00000005471	P21439
HGNC:46	ABCB5	NM_178559	340273	ENSG00000004846	Q2M3G0
HGNC:47	ABCB6	NM_005689	10058	ENSG00000115657	Q9NP58
HGNC:48	ABCB7	NM_004299	22	ENSG00000131269	O75027
HGNC:49	ABCB8	NM_007188	11194	ENSG00000197150	Q9NUT2
HGNC:50	ABCB9	NM_019624	23457	ENSG00000150967	Q9NP78
HGNC:41	ABCB10	NM_012089	23456	ENSG00000135776	Q9NRK6
HGNC:14114	ABCB10P1	NG_005041	56476	ENSG00000274099	
HGNC:31128	ABCB10P2				
HGNC:31129	ABCB10P3	NG_022122	728248	ENSG00000261524	
HGNC:31130	ABCB10P4	NG_022102	100132289	ENSG00000260053	
HGNC:42	ABCB11	NM_003742	8647	ENSG00000073734	O95342
HGNC:51	ABCC1	NM_004996	4363	ENSG00000103222	P33527
HGNC:53	ABCC2	NM_000392	1244	ENSG00000023839	Q92887
HGNC:54	ABCC3	NM_020038	8714	ENSG00000108846	O15438
HGNC:55	ABCC4	NM_005845	10257	ENSG00000125257	O15439
HGNC:56	ABCC5	NM_005688	10057	ENSG00000114770	O15440
HGNC:40055	ABCC5-AS1			ENSG00000223882	
HGNC:57	ABCC6		368	ENSG00000091262	O95255
HGNC:33352	ABCC6P1	NR_003569	653190	ENSG00000256340	
HGNC:33353	ABCC6P2	NR_023387	730013	ENSG00000255277	
HGNC:58	ABCC7				
HGNC:59	ABCC8	NM_000352	6833	ENSG00000006071	Q09428
HGNC:60	ABCC9	NM_005691	10060	ENSG00000069431	O60706
HGNC:52	ABCC10	NM_033450	89845	ENSG00000124574	Q5T3U5
HGNC:14639	ABCC11	NM_032583	85320	ENSG00000121270	Q96J66
HGNC:14640	ABCC12	NM_033226	94160	ENSG00000140798	Q96J65
HGNC:16022	ABCC13		150000	ENSG00000243064	
HGNC:61	ABCD1	NM_000033	215	ENSG00000101986	P33897
HGNC:62	ABCD1P1		23785		
HGNC:63	ABCD1P2		26983	ENSG00000215151	
HGNC:64	ABCD1P3		26982	ENSG00000261233	
HGNC:65	ABCD1P4		26957	ENSG00000225293	
HGNC:42662	ABCD1P5		642762	ENSG00000214330	
HGNC:66	ABCD2	NM_005164	225	ENSG00000173208	Q9UBJ2
HGNC:67	ABCD3	NM_002858	5825	ENSG00000117528	P28288
HGNC:68	ABCD4	NM_005050	5826	ENSG00000119688	O14678
HGNC:69	ABCE1	NM_002940	6059	ENSG00000164163	P61221
HGNC:70	ABCF1		23	ENSG00000204574	Q8NE71
HGNC:53628	ABCF1-DT		107986587		
HGNC:71	ABCF2	NM_005692	10061	ENSG00000033050	Q9UG63
HGNC:54751	ABCF2-H2BE1		114483834	ENSG00000285292	
HGNC:48841	ABCF2P1		344653	ENSG00000242159	
HGNC:48842	ABCF2P2		100422059	ENSG00000228769	
HGNC:72	ABCF3	NM_018358	55324	ENSG00000161204	Q9NUQ8
HGNC:73	ABCG1	NM_207174	9619	ENSG00000160179	P45844
HGNC:74	ABCG2	NM_004827	9429	ENSG00000118777	Q9UNQ0
HGNC:13884	ABCG4	NM_022169	64137	ENSG00000172350	Q9H172
HGNC:13886	ABCG5	NM_022436	64240	ENSG00000138075	Q9H222
HGNC:13887	ABCG8	NM_022437	64241	ENSG00000143921	Q9H221
HGNC:75	ABCR				
HGNC:17553	ABHD1	NM_032604	84696	ENSG00000143994	Q96SE0
HGNC:18717	ABHD2		11057	ENSG00000140526	P08910
HGNC:18718	ABHD3		171586	ENSG00000158201	Q8WU67
HGNC:20154	ABHD4		63874	ENSG00000100439	Q8TB40
HGNC:21396	ABHD5	NM_016006	51099	ENSG00000011198	Q8WTS1
HGNC:21398	ABHD6	NM_020676	57406	ENSG00000163686	Q9BV23
HGNC:23759	ABHD8	NM_024527	79575	ENSG00000127220	Q96I13
HGNC:25656	ABHD10	NM_018394	55347	ENSG00000144827	Q9NUJ1
HGNC:16407	ABHD11		83451	ENSG00000106077	Q8NFV4
HGNC:18289	ABHD11-AS1	NR_026690	171022	ENSG00000225969	
HGNC:40012	ABHD11-AS2				
HGNC:15868	ABHD12	NM_015600	26090	ENSG00000100997	Q8N2K0
HGNC:19837	ABHD12B		145447	ENSG00000131969	Q7Z5M8
HGNC:20293	ABHD13	NM_032859	84945	ENSG00000139826	Q7L211
HGNC:24538	ABHD14A	NM_015407	25864	ENSG00000248487	Q9BUJ0
HGNC:38856	ABHD14A-ACY1		100526760	ENSG00000114786	
HGNC:28235	ABHD14B	NM_032750	84836	ENSG00000114779	Q96IU4
HGNC:26971	ABHD15	NM_198147	116236	ENSG00000168792	Q6UXT9
HGNC:49685	ABHD15-AS1			ENSG00000264031	
HGNC:13921	ABHD16A		7920	ENSG00000204427	O95870
HGNC:16128	ABHD16B		140701	ENSG00000183260	Q9H3Z7
HGNC:28756	ABHD17A	NM_031213	81926	ENSG00000129968	Q96GS6
HGNC:28394	ABHD17AP1	NG_011738	728917	ENSG00000198658	
HGNC:33538	ABHD17AP2				
HGNC:34041	ABHD17AP3	XR_041784	648359	ENSG00000250536	
HGNC:34042	ABHD17AP4		729495	ENSG00000229107	
HGNC:34043	ABHD17AP5		91219	ENSG00000263366	
HGNC:34044	ABHD17AP6		644988	ENSG00000226981	
HGNC:38508	ABHD17AP7		100133212	ENSG00000260864	
HGNC:38509	ABHD17AP8		647144	ENSG00000260540	
HGNC:38510	ABHD17AP9		100132251	ENSG00000261536	
HGNC:24278	ABHD17B	NM_016014	51104	ENSG00000107362	Q5VST6
HGNC:26925	ABHD17C	NM_021214	58489	ENSG00000136379	Q6PCB6
HGNC:26111	ABHD18	NM_001039717	80167	ENSG00000164074	Q0P651
HGNC:11320	ABI1	NM_005470	10006	ENSG00000136754	Q8IZP0
