orphanet id	name	prevalence count
98878	Hemophilia A	110
98879	Hemophilia B	101
586	Cystic fibrosis	60
2014	Cleft palate	54
204	Sporadic Creutzfeldt-Jakob disease	50
442	Congenital hypothyroidism	46
660	Omphalocele	43
98555	Microphthalmia-anophthalmia-coloboma	40
3389	Tuberculosis	40
70482	Carcinoma of esophagus	38
533	Listeriosis	34
797	Sarcoidosis	34
88673	Hepatocellular carcinoma	34
803	Amyotrophic lateral sclerosis	33
716	Phenylketonuria	32
673	Malaria	31
549	Legionnaires disease	31
399	Huntington disease	31
71211	Neuromyelitis optica spectrum disorder	31
391	Classic Hodgkin lymphoma	30
810	Shigellosis	30
1489	Whooping cough	30
790	Retinoblastoma	29
99976	Adenocarcinoma of the esophagus	28
1203	Duodenal atresia	28
99977	Squamous cell carcinoma of the esophagus	28
186	Primary biliary cholangitis	28
143	Parathyroid carcinoma	27
654	Nephroblastoma	27
509	Leptospirosis	27
35808	Malignant sex cord stromal tumor of ovary	27
35807	Malignant germ cell tumor of ovary	27
379	Chronic granulomatous disease	27
100088	Thyroid carcinoma	27
150	Nasopharyngeal carcinoma	27
544	Diffuse large B-cell lymphoma	26
33276	Kaposi sarcoma	26
3392	Tularemia	26
545	Follicular lymphoma	26
418959	Squamous cell carcinoma of the stomach	26
99828	Dengue fever	26
300385	Pituitary carcinoma	26
581	Mucopolysaccharidosis type 3	26
449	Hepatoblastoma	26
579	Mucopolysaccharidosis type 1	26
580	Mucopolysaccharidosis type 2	26
589	Myasthenia gravis	26
583	Mucopolysaccharidosis type 6	26
423786	Undifferentiated carcinoma of stomach	25
1501	Adrenocortical carcinoma	25
94	Astrocytoma	25
1304	Brucellosis	25
1267	Botulism	25
900	Granulomatosis with polyangiitis	25
3380	Trisomy 18	25
104075	Adenocarcinoma of the small intestine	25
213528	Rare adenocarcinoma of the breast	24
2248	Hypoplastic left heart syndrome	24
213767	Squamous cell carcinoma of the cervix uteri	24
398987	Malignant teratoma of ovary	24
