orphanet id	name_x	Symbol	name_y	prevalence count
586	Cystic fibrosis	SLC11A1	Cystic fibrosis	60
3389	Tuberculosis	SLC11A1	Tuberculosis	40
797	Sarcoidosis	HLA-DRB1	Sarcoidosis	34
803	Amyotrophic lateral sclerosis	UNC13A	Amyotrophic lateral sclerosis	33
399	Huntington disease	SLC2A3	Huntington disease	31
99977	Squamous cell carcinoma of the esophagus	DLEC1	Squamous cell carcinoma of the esophagus	28
186	Primary biliary cholangitis	TNFSF15	Primary biliary cholangitis	28
379	Chronic granulomatous disease	CYBC1	Chronic granulomatous disease	27
654	Nephroblastoma	DIS3L2	Nephroblastoma	27
143	Parathyroid carcinoma	CDC73	Parathyroid carcinoma	27
150	Nasopharyngeal carcinoma	NFKBIA	Nasopharyngeal carcinoma	27
545	Follicular lymphoma	IGH	Follicular lymphoma	26
900	Granulomatosis with polyangiitis	PRTN3	Granulomatosis with polyangiitis	25
1501	Adrenocortical carcinoma	TP53	Adrenocortical carcinoma	25
2248	Hypoplastic left heart syndrome	NKX2-5	Hypoplastic left heart syndrome	24
213504	Adenocarcinoma of ovary	INHBA	Adenocarcinoma of ovary	24
99757	Embryonal rhabdomyosarcoma	DICER1	Embryonal rhabdomyosarcoma	23
99756	Alveolar rhabdomyosarcoma	TP53	Alveolar rhabdomyosarcoma	23
3303	Tetralogy of Fallot	TBX1	Tetralogy of Fallot	23
79278	Autosomal erythropoietic protoporphyria	FECH	Autosomal erythropoietic protoporphyria	22
401920	Fibrolamellar hepatocellular carcinoma	PRKACA	Fibrolamellar hepatocellular carcinoma	22
79473	Porphyria variegata	PPOX	Porphyria variegata	22
2140	Congenital diaphragmatic hernia	GATA6	Congenital diaphragmatic hernia	22
79276	Acute intermittent porphyria	HMBS	Acute intermittent porphyria	22
1880	Ebstein malformation of the tricuspid valve	MYH7	Ebstein malformation of the tricuspid valve	22
370334	Extraskeletal Ewing sarcoma	SMARCA5	Extraskeletal Ewing sarcoma	22
3287	Takayasu arteritis	MLX	Takayasu arteritis	21
963	Acromegaly	GPR101	Acromegaly	21
47	X-linked agammaglobulinemia	BTK	X-linked agammaglobulinemia	19
171	Primary sclerosing cholangitis	TCF4	Primary sclerosing cholangitis	18
98976	Congenital glaucoma	TEK	Congenital glaucoma	18
1848	Renal agenesis, bilateral	GFRA1	Renal agenesis, bilateral	18
95	Friedreich ataxia	FXN	Friedreich ataxia	17
42	Medium chain acyl-CoA dehydrogenase deficiency	ACADM	Medium chain acyl-CoA dehydrogenase deficiency	17
83463	Microtia	HOXA2	Microtia	17
2032	Idiopathic pulmonary fibrosis	ABCA3	Idiopathic pulmonary fibrosis	17
117	Behçet disease	IFNGR1	Behçet disease	17
3384	Truncus arteriosus	PLXND1	Truncus arteriosus	16
98896	Duchenne muscular dystrophy	LTBP4	Duchenne muscular dystrophy	15
718	Isolated Pierre Robin syndrome	SOX9	Isolated Pierre Robin syndrome	14
538	Lymphangioleiomyomatosis	TSC2	Lymphangioleiomyomatosis	13
15	Achondroplasia	FGFR3	Achondroplasia	13
930	Idiopathic achalasia	NOS1	Idiopathic achalasia	13
166096	Von Willebrand disease type 3	VWF	Von Willebrand disease type 3	13
98895	Becker muscular dystrophy	DMD	Becker muscular dystrophy	13
131	Budd-Chiari syndrome	CALR	Budd-Chiari syndrome	12
79241	Biotinidase deficiency	BTD	Biotinidase deficiency	12
1572	Common variable immunodeficiency	TNFRSF13B	Common variable immunodeficiency	12
232	Sickle cell anemia	HBB	Sickle cell anemia	11
905	Wilson disease	ATP7B	Wilson disease	11
778	Rett syndrome	MECP2	Rett syndrome	11
2573	Moyamoya disease	RNF213	Moyamoya disease	10
5	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	HADHA	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	10
309297	Mucopolysaccharidosis type 4A	GALNS	Mucopolysaccharidosis type 4A	10
3451	Infantile spasms syndrome	CNPY3	Infantile spasms syndrome	10
510	Lesch-Nyhan syndrome	HPRT1	Lesch-Nyhan syndrome	10
324	Fabry disease	GLA	Fabry disease	10
469	Hereditary fructose intolerance	ALDOB	Hereditary fructose intolerance	10
584	Mucopolysaccharidosis type 7	GUSB	Mucopolysaccharidosis type 7	9
910	Xeroderma pigmentosum	ERCC2	Xeroderma pigmentosum	9
87	Apert syndrome	FGFR2	Apert syndrome	9
58017	Classic hairy cell leukemia	BRAF	Classic hairy cell leukemia	9
791	Retinitis pigmentosa	POMGNT1	Retinitis pigmentosa	9
888	Van der Woude syndrome	GRHL3	Van der Woude syndrome	9
97363	Unilateral multicystic dysplastic kidney	HNF1B	Unilateral multicystic dysplastic kidney	9
93473	Hurler syndrome	IDUA	Hurler syndrome	9
394	Classic homocystinuria	CBS	Classic homocystinuria	9
275798	Pulmonary arterial hypertension associated with connective tissue disease	HLA-B	Pulmonary arterial hypertension associated with connective tissue disease	8
35	Propionic acidemia	PCCB	Propionic acidemia	8
29073	Multiple myeloma	CCND1	Multiple myeloma	8
647	Nijmegen breakage syndrome	NBN	Nijmegen breakage syndrome	8
536	Systemic lupus erythematosus	ETS1	Systemic lupus erythematosus	8
85447	ATTRV30M amyloidosis	TTR	ATTRV30M amyloidosis	8
100	Ataxia-telangiectasia	ATM	Ataxia-telangiectasia	8
397	Giant cell arteritis	P4HA2	Giant cell arteritis	8
56	Alkaptonuria	HGD	Alkaptonuria	8
44890	Gastrointestinal stromal tumor	PDGFRA	Gastrointestinal stromal tumor	8
